emp_id,performance_score
10026,Exceeds
10084,Fully Meets
10196,Fully Meets
10088,Fully Meets
10069,Fully Meets
10002,Exceeds
10194,Fully Meets
10062,Fully Meets
10114,Fully Meets
10250,Fully Meets
10252,Fully Meets
10242,Fully Meets
10012,Exceeds
10265,Fully Meets
10066,Fully Meets
10061,Fully Meets
10023,Exceeds
10055,Fully Meets
10245,Fully Meets
10277,Fully Meets
10046,Fully Meets
10226,Fully Meets
10003,Exceeds
10294,Needs Improvement
10267,Fully Meets
10199,Fully Meets
10081,Fully Meets
10175,Fully Meets
10177,Fully Meets
10238,Fully Meets
10184,Fully Meets
10203,Fully Meets
10188,Fully Meets
10107,Fully Meets
10181,Fully Meets
10150,Fully Meets
10001,Exceeds
10085,Fully Meets
10115,Fully Meets
10082,Fully Meets
10040,Fully Meets
10067,Fully Meets
10108,Fully Meets
10210,Fully Meets
10154,Fully Meets
10200,Fully Meets
10240,Fully Meets
10168,Fully Meets
10220,Fully Meets
10275,Fully Meets
10269,Fully Meets
10029,Exceeds
10261,Fully Meets
10292,Needs Improvement
10282,Needs Improvement
10019,Exceeds
10094,Fully Meets
10193,Fully Meets
10132,Fully Meets
10083,Fully Meets
10099,Fully Meets
10212,Fully Meets
10056,Fully Meets
10143,Fully Meets
10311,Fully Meets
10070,Fully Meets
10155,Fully Meets
10306,PIP
10100,Fully Meets
10310,PIP
10197,Fully Meets
10276,Fully Meets
10304,PIP
10284,Needs Improvement
10207,Fully Meets
10133,Fully Meets
10028,Exceeds
10006,Exceeds
10105,Fully Meets
10211,Fully Meets
10064,Fully Meets
10247,Fully Meets
10235,Fully Meets
10299,PIP
10280,Needs Improvement
10296,Needs Improvement
10290,Needs Improvement
10263,Fully Meets
10136,Fully Meets
10189,Fully Meets
10308,PIP
10309,PIP
10049,Fully Meets
10093,Fully Meets
10163,Fully Meets
10305,PIP
10015,Exceeds
10080,Fully Meets
10258,Fully Meets
10273,Fully Meets
10111,Fully Meets
10257,Fully Meets
10159,Fully Meets
10122,Fully Meets
10142,Fully Meets
